SKU,NAME,PO#1,Quantity Ordered1,Shipping Date1,ETA ATL1,PO#2,Quantity Ordered2,Shipping Date2,ETA ATL2,PO#3,Quantity Ordered3,Shipping Date3,ETA ATL3,PO#4,Quantity Ordered4,Shipping Date4,ETA ATL4
70001,,,,,,,,,,,,,,,,,
CONTINUOUS LOOP CORD,Continuous Loop Cord Mechanism,,,,,,,,,,,,,,,,
HOOKS,Hooks for Drapes,,,,,,,,,,,,,,,,
TEST  BEDDING,,,,,,,,,,,,,,,,,
RR00- MISC,Rollar Shade,,,,,,,,,,,,,,,,
PTFFLK-C23B-SW,Filigree Pearl Flocked Faux Silk Swatch,,,,,,,,,,,,,,,,
BOCH-151304-96,Classic Taupe Blackout Curtain,PO19390,172,8/20/2017,10/5/2017,,,,,,,,,,,,
BOCH-151304-108,Classic Taupe Blackout Curtain,PO19390,120,8/20/2017,10/5/2017,,,,,,,,,,,,
BOCH-151304-120,Classic Taupe Blackout Curtain,PO19390,120,8/20/2017,10/5/2017,,,,,,,,,,,,
BOCH-151304-84-DW,Classic Taupe Doublewide Blackout Curtain,,,,,,,,,,,,,,,,
BOCH-151304-96-DW,Classic Taupe Doublewide Blackout Curtain,,,,,,,,,,,,,,,,
BOCH-151304-108-DW,Classic Taupe Doublewide Blackout Curtain,,,,,,,,,,,,,,,,
BOCH-151304-120-DW,Classic Taupe Doublewide Blackout Curtain,,,,,,,,,,,,,,,,
BOCH-151304-84-GR,Classic Taupe Grommet Blackout Curtain,,,,,,,,,,,,,,,,
BOCH-151304-96-GR,Classic Taupe Grommet Blackout Curtain,,,,,,,,,,,,,,,,
BOCH-151304-108-GR,Classic Taupe Grommet Blackout Curtain,,,,,,,,,,,,,,,,
BOCH-151304-120-GR,Classic Taupe Grommet Blackout Curtain,,,,,,,,,,,,,,,,
BOCH-151304-84-GRDW,Classic Taupe Grommet Doublewide Blackout Curtain,,,,,,,,,,,,,,,,
BOCH-151304-96-GRDW,Classic Taupe Grommet Doublewide Blackout Curtain,,,,,,,,,,,,,,,,
BOCH-151304-108-GRDW,Classic Taupe Grommet Doublewide Blackout Curtain,,,,,,,,,,,,,,,,
BOCH-151304-120-GRDW,Classic Taupe Grommet Doublewide Blackout Curtain,,,,,,,,,,,,,,,,
BOCH-151304-SW,Classic Taupe Blackout Swatch,,,,,,,,,,,,,,,,
BOCH-164712-84,Juniper Berry Green Blackout Curtain,PO19390,50,8/20/2017,10/5/2017,,,,,,,,,,,,
BOCH-164712-96,Juniper Berry Green Blackout Curtain,PO19390,40,8/20/2017,10/5/2017,,,,,,,,,,,,
BOCH-164712-108,Juniper Berry Green Blackout Curtain,PO19390,220,8/20/2017,10/5/2017,,,,,,,,,,,,
BOCH-164712-120,Juniper Berry Green Blackout Curtain,PO19390,40,8/20/2017,10/5/2017,,,,,,,,,,,,
BOCH-164712-84-GR,Juniper Berry Grommet Blackout Curtain,,,,,,,,,,,,,,,,
BOCH-164712-96-GR,Juniper Berry Grommet Blackout Curtain,,,,,,,,,,,,,,,,
BOCH-164712-108-GR,Juniper Berry Grommet Blackout Curtain,,,,,,,,,,,,,,,,
BOCH-164712-120-GR,Juniper Berry Grommet Blackout Curtain,,,,,,,,,,,,,,,,
BOCH-164712-SW,Juniper Berry Green Blackout Swatch,,,,,,,,,,,,,,,,
BOCH-170935-84,Dark Olive Green Blackout Curtain,,,,,,,,,,,,,,,,
BOCH-170935-96,Dark Olive Green Blackout Curtain,,,,,,,,,,,,,,,,
BOCH-170935-108,Dark Olive Green Blackout Curtain,,,,,,,,,,,,,,,,
BOCH-170935-120,Dark Olive Green Blackout Curtain,,,,,,,,,,,,,,,,
BOCH-170935-SW,Dark Olive Green Blackout Swatch,,,,,,,,,,,,,,,,
BOCH-174402-63,Neutral Grey Blackout Curtain,,,,,,,,,,,,,,,,
BOCH-174402-84,Neutral Grey Blackout Curtain,,,,,,,,,,,,,,,,
BOCH-174402-96,Neutral Grey Blackout Curtain,,,,,,,,,,,,,,,,
BOCH-174402-108,Neutral Grey Blackout Curtain,,,,,,,,,,,,,,,,
BOCH-174402-120,Neutral Grey Blackout Curtain,,,,,,,,,,,,,,,,
BOCH-174402-84-DW,Neutral Grey Doublewide Blackout Curtain,PO20094,60,,12/28/2017,,,,,,,,,,,,
BOCH-174402-96-DW,Neutral Grey Doublewide Blackout Curtain,PO20094,78,,12/28/2017,,,,,,,,,,,,
BOCH-174402-108-DW,Neutral Grey Doublewide Blackout Curtain,PO20094,30,,12/28/2017,,,,,,,,,,,,
BOCH-174402-120-DW,Neutral Grey Doublewide Blackout Curtain,PO20094,20,,12/28/2017,,,,,,,,,,,,
BOCH-174402-DW-SW,Neutral Grey Doublewide Blackout Swatch,,,,,,,,,,,,,,,,
BOCH-174402-63-GR,Neutral Grey Grommet Blackout Curtain,,,,,,,,,,,,,,,,
BOCH-174402-84-GR,Neutral Grommet Grey Blackout Curtain,,,,,,,,,,,,,,,,
BOCH-174402-96-GR,Neutral Grommet Grey Blackout Curtain,,,,,,,,,,,,,,,,
BOCH-174402-108-GR,Neutral Grommet Grey Blackout Curtain,,,,,,,,,,,,,,,,
