SKU,UPC,Price,BaseCustomPrice
BOCH-PL1607-108,"799665829568","69.0000","69.0000"
BOCH-PL1607-120,"799665829551","74.0000","74.0000"
BOCH-PL1607-84,"799665829537","59.0000","59.0000"
BOCH-PL1607-96,"799665829544","64.0000","64.0000"
BOCH-PL1608-108,"799665829643","69.0000","69.0000"
BOCH-PL1608-120,"799665829636","74.0000","74.0000"
BOCH-PL1608-84,"799665829612","59.0000","59.0000"
BOCH-PL1608-96,"799665829629","64.0000","64.0000"
BOCH-PL1609-108,"799665829728","69.0000","69.0000"
BOCH-PL1609-120,"799665829711","74.0000","74.0000"
BOCH-PL1609-84,"799665829698","59.0000","59.0000"
BOCH-PL1609-96,"799665829704","64.0000","64.0000"
BOCH-PL1610-108,"799665829803","69.0000","69.0000"
BOCH-PL1610-120,"799665829797","74.0000","74.0000"
BOCH-PL1610-84,"799665829773","59.0000","59.0000"
BOCH-PL1610-96,"799665829780","64.0000","64.0000"
BOCH-PL4201-108,"799665829889","69.0000","69.0000"
BOCH-PL4201-120,"799665829872","74.0000","74.0000"
BOCH-PL4201-84,"799665829858","59.0000","59.0000"
BOCH-PL4201-96,"799665829865","64.0000","64.0000"
CC-CD14-FB,"","15.0000","15.0000"
CC-CD14-FB,"","18.0000","18.0000"
CC-CD17-108,"799418017457","109.0000","109.0000"
CC-CD17-120,"799418017464","119.0000","119.0000"
CC-CD17-84,"799418017433","89.0000","89.0000"
CC-CD17-96,"799418017440","99.0000","99.0000"
CC-CD17-FB,"799418017495","15.0000","15.0000"
CC-CD17-FB,"799418017495","18.0000","18.0000"
CC-CD22-108,"799418017525","109.0000","109.0000"
CC-CD22-120,"799418017532","119.0000","119.0000"
CC-CD22-84,"799418017501","89.0000","89.0000"
CC-CD22-96,"799418017518","99.0000","99.0000"
CC-CD22-FB,"799418017563","15.0000","15.0000"
CC-CD22-FB,"799418017563","18.0000","18.0000"
CC-CD29-108,"799418017730","109.0000","109.0000"
CC-CD29-120,"799418017747","119.0000","119.0000"
