SKU,SalePrice,BaseCustomPrice,DisplayOrder,Weight,Discontinue
BOCH-174402-GR,"29.0000","0.0000","12","5.00","No"
BOCH-174402-SW,"0.9900","0.0000","999","0.05","No"
BOCH-190303,"29.0000","0.0000","6","5.00","No"
BOCH-190303-108,"39.0000","39.0000","2","6.00","No"
BOCH-190303-108-GR,"39.0000","39.0000","3","0.00","No"
BOCH-190303-120,"44.0000","44.0000","2","6.00","No"
BOCH-190303-120-GR,"44.0000","44.0000","4","0.00","No"
BOCH-190303-84,"29.0000","29.0000","1","5.00","No"
BOCH-190303-84-GR,"29.0000","29.0000","1","0.00","No"
BOCH-190303-96,"34.0000","34.0000","2","5.00","No"
BOCH-190303-96-GR,"34.0000","34.0000","2","0.00","No"
BOCH-190303-CUS,"0.0000","0.0000","5","2.00","No"
BOCH-190303-GR,"29.0000","0.0000","7","5.00","No"
BOCH-190303-SW,"0.9900","0.0000","999","0.05","No"
BOCH-191016,"29.0000","0.0000","10","5.00","No"
BOCH-191016-108,"39.0000","39.0000","2","6.00","No"
BOCH-191016-108-GR,"39.0000","39.0000","3","0.00","No"
BOCH-191016-120,"44.0000","44.0000","2","6.00","No"
BOCH-191016-120-GR,"44.0000","44.0000","4","0.00","No"
BOCH-191016-84,"29.0000","29.0000","1","5.00","No"
BOCH-191016-84-GR,"29.0000","29.0000","1","0.00","No"
BOCH-191016-96,"34.0000","34.0000","2","5.00","No"
BOCH-191016-96-GR,"34.0000","34.0000","2","0.00","No"
BOCH-191016-CUS,"0.0000","0.0000","5","2.00","No"
BOCH-191016-GR,"29.0000","0.0000","10","5.00","No"
BOCH-191016-SW,"0.9900","0.0000","999","0.05","No"
BOCH-193810,"29.0000","0.0000","18","5.00","No"
BOCH-193810-108,"39.0000","39.0000","2","6.00","No"
BOCH-193810-108-GR,"39.0000","39.0000","3","0.00","No"
BOCH-193810-120,"44.0000","44.0000","2","6.00","No"
BOCH-193810-120-GR,"44.0000","44.0000","4","0.00","No"
BOCH-193810-84,"29.0000","29.0000","1","5.00","No"
BOCH-193810-84-GR,"29.0000","29.0000","1","0.00","No"
BOCH-193810-96,"34.0000","34.0000","2","5.00","No"
BOCH-193810-96-GR,"34.0000","34.0000","2","0.00","No"
BOCH-193810-CUS,"0.0000","0.0000","5","2.00","No"
BOCH-193810-GR,"29.0000","0.0000","19","5.00","No"
BOCH-193810-SW,"0.9900","0.0000","999","0.05","No"
BOCH-201301,"29.0000","0.0000","5","5.00","No"
BOCH-201301-108,"39.0000","39.0000","2","6.00","No"
BOCH-201301-108-GR,"39.0000","39.0000","3","0.00","No"
BOCH-201301-120,"44.0000","44.0000","2","6.00","No"
BOCH-201301-120-GR,"44.0000","44.0000","0","0.00","No"
BOCH-201301-84,"29.0000","29.0000","1","5.00","No"
BOCH-201301-84-GR,"29.0000","29.0000","1","0.00","No"
BOCH-201301-96,"34.0000","34.0000","2","5.00","No"
BOCH-201301-96-GR,"34.0000","34.0000","2","0.00","No"
BOCH-201301-CUS,"0.0000","0.0000","5","2.00","No"
BOCH-201301-GR,"29.0000","0.0000","4","5.00","No"
BOCH-201301-SW,"0.9900","0.0000","999","0.05","No"
BOCH-201302,"29.0000","0.0000","13","5.00","No"
BOCH-201302-108,"39.0000","39.0000","2","6.00","No"
BOCH-201302-108-GR,"39.0000","39.0000","3","0.00","No"
BOCH-201302-120,"44.0000","44.0000","2","6.00","No"
BOCH-201302-120-GR,"44.0000","44.0000","4","0.00","No"
BOCH-201302-84,"29.0000","29.0000","1","5.00","No"
BOCH-201302-84-GR,"29.0000","29.0000","1","0.00","No"
BOCH-201302-96,"34.0000","34.0000","2","5.00","No"
BOCH-201302-96-GR,"34.0000","34.0000","2","0.00","No"
BOCH-201302-CUS,"0.0000","0.0000","5","2.00","No"
BOCH-201302-GR,"29.0000","0.0000","14","5.00","No"
BOCH-201302-SW,"0.9900","0.0000","999","0.05","No"
BOCH-201303,"29.0000","0.0000","999","5.00","No"
BOCH-201303-108,"39.0000","39.0000","3","6.00","No"
BOCH-201303-108-GR,"39.0000","39.0000","3","6.00","No"
BOCH-201303-120,"44.0000","44.0000","4","6.00","No"
BOCH-201303-120-GR,"44.0000","44.0000","4","6.00","No"
BOCH-201303-84,"29.0000","29.0000","1","5.00","No"
BOCH-201303-84-GR,"29.0000","29.0000","1","5.00","No"
BOCH-201303-96,"34.0000","34.0000","2","5.00","No"
BOCH-201303-96-GR,"34.0000","34.0000","2","5.00","No"
BOCH-201303-CUS,"0.0000","0.0000","5","2.00","No"
BOCH-201303-GR,"29.0000","0.0000","22","5.00","No"
BOCH-201303-SW,"0.9900","0.0000","999","0.05","No"
BOCH-201304,"29.0000","0.0000","3","5.00","No"
BOCH-201304-108,"39.0000","39.0000","2","6.00","No"
BOCH-201304-108-GR,"39.0000","39.0000","3","0.00","No"
BOCH-201304-120,"44.0000","44.0000","2","6.00","No"
BOCH-201304-120-GR,"44.0000","44.0000","4","0.00","No"
BOCH-201304-63,"29.0000","29.0000","1","5.00","No"
BOCH-201304-84-GR,"29.0000","29.0000","1","0.00","No"
BOCH-201304-96,"34.0000","34.0000","2","5.00","No"
BOCH-201304-96-GR,"34.0000","34.0000","2","0.00","No"
BOCH-201304-CUS,"0.0000","0.0000","5","2.00","No"
BOCH-201304-GR,"29.0000","0.0000","2","5.00","No"
BOCH-201304-SW,"0.9900","0.0000","999","0.05","No"
BOCH-201305,"29.0000","0.0000","16","5.00","No"
