SKU,Price,BASE CUSTOM PRICE
"BOCH-KC36-84","54.9900","54.9900"
"BOCH-KC36-96","59.9900","59.9900"
"BOCH-KC5-108","59.9900","59.9900"
"BOCH-KC5-120","64.9900","64.9900"
"BOCH-KC5-84","49.9900","49.9900"
"BOCH-KC5-96","54.9900","54.9900"
"BOCH-KC6-108","59.9900","59.9900"
"BOCH-KC6-108","54.9900","54.9900"
"BOCH-KC6-120","44.9900","44.9900"
"BOCH-KC6-120","64.9900","64.9900"
"BOCH-KC6-84","49.9900","49.9900"
"BOCH-KC6-84","44.9900","44.9900"
"BOCH-KC6-96","49.9900","49.9900"
"BOCH-KC6-96","54.9900","54.9900"
"BOCH-KC8-108","59.9900","59.9900"
"BOCH-KC8-120","64.9900","64.9900"
"BOCH-KC8-84","49.9900","49.9900"
"BOCH-KC8-96","54.9900","54.9900"
"BOCH-KC91B-108","59.9900","59.9900"
"BOCH-KC91B-120","64.9900","64.9900"
"BOCH-KC91B-84","49.9900","49.9900"
"BOCH-KC91B-96","54.9900","54.9900"
"BOCH-PL1601-108","69.0000","69.0000"
"BOCH-PL1601-120","74.0000","74.0000"
"BOCH-PL1601-84","59.0000","59.0000"
"BOCH-PL1601-96","64.0000","64.0000"
"BOCH-PL1602-108","69.0000","69.0000"
"BOCH-PL1602-120","74.0000","74.0000"
"BOCH-PL1602-84","59.0000","59.0000"
"BOCH-PL1602-96","64.0000","64.0000"
"BOCH-PL1604-108","69.0000","69.0000"
"BOCH-PL1604-120","74.0000","74.0000"
"BOCH-PL1604-84","59.0000","59.0000"
"BOCH-PL1604-96","64.0000","64.0000"
"BOCH-PL1605-108","69.0000","69.0000"
"BOCH-PL1605-120","74.0000","74.0000"
"BOCH-PL1605-84","59.0000","59.0000"
"BOCH-PL1605-96","64.0000","64.0000"
"BOCH-PL1606-108","69.0000","69.0000"
"BOCH-PL1606-120","74.0000","74.0000"
"BOCH-PL1606-84","59.0000","59.0000"
"BOCH-PL1606-96","64.0000","64.0000"
"BOCH-PL1607-108","69.0000","69.0000"
"BOCH-PL1607-120","74.0000","74.0000"
"BOCH-PL1607-84","59.0000","59.0000"
"BOCH-PL1607-96","64.0000","64.0000"
"BOCH-PL1608-108","69.0000","69.0000"
"BOCH-PL1608-120","74.0000","74.0000"
"BOCH-PL1608-84","59.0000","59.0000"
"BOCH-PL1608-96","64.0000","64.0000"
"BOCH-PL1609-108","69.0000","69.0000"
"BOCH-PL1609-120","74.0000","74.0000"
"BOCH-PL1609-84","59.0000","59.0000"
"BOCH-PL1609-96","64.0000","64.0000"
"BOCH-PL1610-108","69.0000","69.0000"
"BOCH-PL1610-120","74.0000","74.0000"
"BOCH-PL1610-84","59.0000","59.0000"
"BOCH-PL1610-96","64.0000","64.0000"
"BOCH-PL4201-108","69.0000","69.0000"
"BOCH-PL4201-120","74.0000","74.0000"
"BOCH-PL4201-84","59.0000","59.0000"
"BOCH-PL4201-96","64.0000","64.0000"
"CC-CD14-FB","18.0000","18.0000"
"CC-CD17-108","109.0000","109.0000"
"CC-CD17-120","119.0000","119.0000"
"CC-CD17-84","89.0000","89.0000"
"CC-CD17-96","99.0000","99.0000"
"CC-CD17-FB","18.0000","18.0000"
"CC-CD22-108","109.0000","109.0000"
"CC-CD22-120","119.0000","119.0000"
"CC-CD22-84","89.0000","89.0000"
"CC-CD22-96","99.0000","99.0000"
"CC-CD22-FB","18.0000","18.0000"
"CC-CD29-108","109.0000","109.0000"
"CC-CD29-120","119.0000","119.0000"
"CC-CD29-84","89.0000","89.0000"
"CC-CD29-96","99.0000","99.0000"
"CC-CD29-FB","18.0000","18.0000"
"CC-CD34-FB","18.0000","18.0000"
"CC-CD35-108","109.0000","109.0000"
"CC-CD35-120","119.0000","119.0000"
"CC-CD35-84","89.0000","89.0000"
"CC-CD35-96","99.0000","99.0000"
"CC-CD35-FB","18.0000","18.0000"
"CC-CD36-FB","18.0000","18.0000"
"CC-CD37-FB","18.0000","18.0000"
"CC-CD38-108","109.0000","109.0000"
"CC-CD38-120","119.0000","119.0000"
"CC-CD38-84","89.0000","89.0000"
"CC-CD38-96","99.0000","99.0000"
"CC-CD38-FB","18.0000","18.0000"
"CC-CD42-FB","18.0000","18.0000"
"CC-CD43-FB","18.0000","18.0000"
"CC-CD44-FB","18.0000","18.0000"
"CC-MA1-FB","18.0000","18.0000"
"CC-MA2-FB","18.0000","18.0000"
"CC-MA3-108","109.0000","109.0000"
"CC-MA3-120","119.0000","119.0000"
"CC-MA3-84","89.0000","89.0000"
"CC-MA3-96","99.0000","99.0000"
"CC-MA3-FB","18.0000","18.0000"
"CC-MA4-FB","18.0000","18.0000"
"CC-MA5-108","109.0000","109.0000"
"CC-MA5-120","119.0000","119.0000"
"CC-MA5-84","89.0000","89.0000"
"CC-MA5-96","99.0000","99.0000"
