SKU,UPC,Inventory On Hand, Location,Hemming Allowed
DS-EFCH14-1,"13","-24","Livermore Warehouse","No"
 ,SKU,UPC,Inventory On Hand, Location,Safety Lock Qty,Avilable For Channel Sales/HPD Website
,"DS-SLK83-84","799418019567","0","Livermore Warehouse","0","0"
,"DS-SLK83-96","799418019574","0","Livermore Warehouse","0","0"
,"DS-SLK83-108","799418019581","0","Livermore Warehouse","0","0"
,"DS-SLK83-120","799418019598","0","Livermore Warehouse","0","0"
,"DS-SLK83-CUS","799418019611","0","Livermore Warehouse","0",""
DS-TS001,"","0","Livermore Warehouse","No"
,"DS-TS001-84","799418019772","0","Livermore Warehouse","0","0"
,"DS-TS001-96","799418019789","0","Livermore Warehouse","0","0"
,"DS-TS001-108","799418019796","0","Livermore Warehouse","0","0"
,"DS-TS001-120","799418019802","0","Livermore Warehouse","0","0"
,"DS-TS001-CUS","799418019826","0","Livermore Warehouse","0",""
DS-TS002,"","0","Livermore Warehouse","No"
,"DS-TS002-84","799418019840","0","Livermore Warehouse","0","0"
,"DS-TS002-96","799418019857","0","Livermore Warehouse","0","0"
,"DS-TS002-108","799418019864","0","Livermore Warehouse","0","0"
,"DS-TS002-120","799418019871","0","Livermore Warehouse","0","0"
,"DS-TS002-CUS","799418019895","0","Livermore Warehouse","0",""
DS-D22012,"","0","Livermore Warehouse","No"
,"DS-D22012-84","799665818753","0","Livermore Warehouse","5","0"
,"DS-D22012-96","799665818760","0","Livermore Warehouse","5","0"
,"DS-D22012-108","799665818784","0","Livermore Warehouse","5","0"
,"DS-D22012-120","799665818777","0","Livermore Warehouse","5","0"
,"DS-D22012-CUS","799665818791","0","Livermore Warehouse","0",""
EFSCH-PLK850C1,"","319","Atlanta Warehouse","No"
,"EFSCH-PLK850C1-84","799418014050","0","Atlanta Warehouse","0","0"
,"EFSCH-PLK850C1-96","799418014067","114","Atlanta Warehouse","0","114"
,"EFSCH-PLK850C1-108","799418014074","136","Livermore Warehouse","5","131"
,"EFSCH-PLK850C1-108","799418014074","136","Atlanta Warehouse","5","131"
,"EFSCH-PLK850C1-120","799418014081","69","Atlanta Warehouse","0","69"
JQCH-HANB1B,"","162","Atlanta Warehouse","No"
,"JQCH-HANB1B-84","799418012414","32","Atlanta Warehouse","0","32"
,"JQCH-HANB1B-96","799418012421","68","Atlanta Warehouse","0","68"
,"JQCH-HANB1B-108","799418012438","62","Atlanta Warehouse","0","62"
,"JQCH-HANB1B-120","799418012445","0","Atlanta Warehouse","0","0"
EFSCH-PLK850C3,"","266","Livermore Warehouse","No"
,"EFSCH-PLK850C3-84","799418014197","0","Atlanta Warehouse","0","0"
,"EFSCH-PLK850C3-96","799418014203","133","Atlanta Warehouse","0","133"
,"EFSCH-PLK850C3-108","799418014210","133","Livermore Warehouse","0","133"
,"EFSCH-PLK850C3-120","799418014227","0","Livermore Warehouse","0","0"
DS-SLK50,"","0","Livermore Warehouse","No"
,"DS-SLK50-CUS","799418019680","0","Livermore Warehouse","0",""
DS-SLK50,"","0","Atlanta Warehouse","No"
,"DS-SLK50-CUS","799418019680","0","Livermore Warehouse","0",""
DS-CHX4,"","-1","Livermore Warehouse","No"
,"DS-CHX4-84","799418019147","0","Livermore Warehouse","0","0"
,"DS-CHX4-96","799418019154","0","Livermore Warehouse","0","0"
,"DS-CHX4-108","799418019161","0","Livermore Warehouse","0","0"
,"DS-CHX4-120","799418019178","0","Livermore Warehouse","0","0"
,"DS-CHX4-CUS","799418019192","0","Livermore Warehouse","0",""
DS-CHX4,"","-1","Atlanta Warehouse","No"
,"DS-CHX4-84","799418019147","0","Livermore Warehouse","0","0"
,"DS-CHX4-96","799418019154","0","Livermore Warehouse","0","0"
,"DS-CHX4-108","799418019161","0","Livermore Warehouse","0","0"
,"DS-CHX4-120","799418019178","0","Livermore Warehouse","0","0"
,"DS-CHX4-CUS","799418019192","0","Livermore Warehouse","0",""
SS-ROM,"","0","Livermore Warehouse","No"
,"SS-SBR13-FB","799665819705","0","Livermore Warehouse","0",""
,"SS-ROM-CAS","799665813611","0","Livermore Warehouse","0",""
,"DS-MSTK1-FB","799418019277","0","Livermore Warehouse","0",""
,"SS-ROM-SFL","799665813758","0","Livermore Warehouse","0",""
,"SS-SBN11-FB","799665820121","0","Livermore Warehouse","0",""
,"SS-SCY22-FB","799665819644","0","Livermore Warehouse","0",""
,"SS-ROM-FSL","799665813895","0","Livermore Warehouse","0",""
,"SS-ROM-RLX","799418019918","0","Livermore Warehouse","0",""
,"SS-SCB01-FB","799665820183","0","Livermore Warehouse","0",""
,"SS-SGD21-FB","799665819941","0","Livermore Warehouse","0",""
,"SS-SMR04-FB","799665819767","0","Livermore Warehouse","0",""
,"SS-SMB19-FB","799665820244","0","Livermore Warehouse","0",""
,"SS-SPW28-FB","799665820305","0","Livermore Warehouse","0",""
,"SS-SG05-FB","799665820008","0","Livermore Warehouse","0",""
,"SS-SSB02-FB","799665819880","0","Livermore Warehouse","0",""
,"SS-SG17-FB","799665819828","0","Livermore Warehouse","0",""
,"SS-STG16-FB","799665820060","0","Livermore Warehouse","0",""
DIS-ROM,"","-2","Livermore Warehouse","No"
,"DIS-ID7727-FB","799665819163","0","Livermore Warehouse","0",""
,"DIS-ROM-CAS","799665813604","0","Livermore Warehouse","0",""
,"DIS-ROM-SFL","799665813741","0","Livermore Warehouse","0",""
,"DIS-ID20-FB","799665819026","0","Livermore Warehouse","0",""
,"DIS-ID15-FB","799665819002","0","Livermore Warehouse","0",""
,"DIS-ROM-FSL","799665813888","0","Livermore Warehouse","0",""
,"DIS-ROM-RLX","799418019925","0","Livermore Warehouse","0",""
,"DIS-ID1-FB","799665818944","0","Livermore Warehouse","0",""
,"DIS-ID224-FB","799418021348","0","Atlanta Warehouse","0",""
,"DIS-ID224-FB","799418021348","0","Livermore Warehouse","0",""
,"DIS-ID124-FB","799665818982","0","Livermore Warehouse","0",""
,"DIS-ID37-FB","799665819088","0","Livermore Warehouse","0",""
,"DIS-ID221-FB","799665819040","0","Livermore Warehouse","0",""
,"DIS-ID7906-FB","799665819200","0","Livermore Warehouse","0",""
,"DIS-ID511-FB","799665819125","0","Livermore Warehouse","0",""
,"DIS-ID68-FB","799665819149","0","Livermore Warehouse","0",""
,"DIS-ID7806-FB","799665819187","0","Livermore Warehouse","0",""
,"DIS-ID112-FB","799665818968","0","Livermore Warehouse","0",""
,"DIS-ID9-FB","799665819224","0","Livermore Warehouse","0",""
,"DIS-ID50-FB","799665819101","0","Livermore Warehouse","0",""
DS-ROM,"","0","Livermore Warehouse","No"
,"DS-ROM-CAS","799665813635","0","Livermore Warehouse","0",""
,"DS-ROM-SFL","799665813772","0","Livermore Warehouse","0",""
,"DS-TS002-FB","799418019901","0","Livermore Warehouse","0",""
,"DS-TS001-FB","799418019833","0","Livermore Warehouse","0",""
,"DS-ROM-FSL","799665813918","0","Livermore Warehouse","0",""
,"DS-ROM-RLX","799418019932","0","Livermore Warehouse","0",""
,"DS-SLK02-FB","799418019550","0","Livermore Warehouse","0",""
,"DS-PS002-FB","799418019413","0","Livermore Warehouse","0",""
,"DS-PS003-FB","799418019482","0","Livermore Warehouse","0",""
,"DS-PS001-FB","799418019345","0","Livermore Warehouse","0",""
,"DS-SLK196-FB","799418019765","0","Livermore Warehouse","0",""
,"DS-SLK83-FB","799418019628","0","Livermore Warehouse","0",""
,"DS-SLK50-FB","799418019697","0","Livermore Warehouse","0",""
,"DS-DST2-FB","799665817541","0","Livermore Warehouse","0",""
,"DS-DST4-FB","799665817480","0","Livermore Warehouse","0",""
,"DS-TF708-FB","799665817244","0","Livermore Warehouse","0",""
,"DS-TF959-FB","799665817725","0","Livermore Warehouse","0",""
,"DS-ASST100-FB","799665817664","0","Livermore Warehouse","0",""
,"DS-MDSTK5-FB","799665817305","0","Livermore Warehouse","0",""
,"DS-D42012-FB","799665817428","0","Livermore Warehouse","0",""
,"DS-DUPST1-FB","799665817183","0","Livermore Warehouse","0",""
,"DS-D12012-FB","799665817367","0","Livermore Warehouse","0",""
,"DS-TFSN25-FB","799665817787","0","Livermore Warehouse","0",""
,"DS-DXB69-FB","799665818265","0","Livermore Warehouse","0",""
,"DS-TF926-FB","799665817602","0","Livermore Warehouse","0",""
,"DS-TF514-FB","799665818388","0","Livermore Warehouse","0",""
,"DS-TF940-FB","799665818326","0","Livermore Warehouse","0",""
,"DS-SDG6-FB","799665818500","0","Livermore Warehouse","0",""
,"DS-TFSN30-FB","799665818142","0","Livermore Warehouse","0",""
,"DS-DXB66-FB","799665817848","0","Livermore Warehouse","0",""
,"DS-MSTK4-FB","799665817121","0","Livermore Warehouse","0",""
,"DS-TFSN33-FB","799665818029","0","Livermore Warehouse","0",""
,"DS-TF944-FB","799665818562","0","Livermore Warehouse","0",""
,"DS-MSTK5-FB","799665818449","0","Livermore Warehouse","0",""
,"DS-DXB20-FB","799665818203","0","Livermore Warehouse","0",""
,"DS-SLK136-FB","799665817961","0","Livermore Warehouse","0",""
,"DS-SSL28-FB","799665818081","0","Livermore Warehouse","0",""
,"DS-D32012-FB","799665818623","0","Livermore Warehouse","0",""
,"DS-MDSTK2-FB","799665817909","0","Livermore Warehouse","0",""
,"DS-CHX4-FB","799418019208","0","Livermore Warehouse","0",""
,"DS-CHX14-FB","799418019130","0","Livermore Warehouse","0",""
,"DS-SLK33-FB","799418019062","0","Livermore Warehouse","0",""
,"DS-EFCH14-FB","799665818746","0","Livermore Warehouse","0",""
,"DS-EFCH38-FB","799665818685","0","Livermore Warehouse","0",""
