SKU,UPC,Inventory On Hand, Livermore,Atlanta,Safety Lock Qty,Avilable For Channel Sales,Avilable For HPD Website,Hemming Allowed
BOCH-KC25-120,799665825478,0,0,0,0,0,0,N
BOCH-KC25-CUS,799665825492,0,0,0,0,0,0,N
BOCH-KC26,,709,,,0,0,0,N
BOCH-KC26-84,799665825539,208,0,208,0,208,208,N
BOCH-KC26-96,799665825546,200,0,200,0,200,200,N
BOCH-KC26-108,799665825560,219,0,219,0,219,219,N
BOCH-KC26-120,799665825553,82,0,82,0,82,82,N
BOCH-KC26-CUS,799665825577,0,0,0,0,0,0,N
BOCH-KC30,,343,,,0,0,0,N
BOCH-KC30-84,799665825850,85,0,85,0,85,85,N
BOCH-KC30-96,799665825867,90,0,90,0,90,90,N
BOCH-KC30-108,799665825881,128,0,128,0,128,128,N
BOCH-KC30-120,799665825874,40,0,40,0,40,40,N
BOCH-KC30-CUS,799665825898,0,0,0,0,0,0,N
BOCH-KC31,,330,,,0,0,0,N
BOCH-KC31-84,799665825935,0,0,0,0,0,0,N
BOCH-KC31-96,799665825942,49,0,49,0,49,49,N
BOCH-KC31-108,799665825966,209,0,209,0,209,209,N
BOCH-KC31-120,799665825959,72,0,72,0,72,72,N
BOCH-KC31-CUS,799665825973,0,0,0,0,0,0,N
BOCH-KC29-SW,799665825836,185,185,0,0,185,185,N
BOCH-KC24-SW,799665825430,159,159,0,0,159,159,N
BOCH-KC5-SW,799665828233,302,302,0,0,302,302,N
BOCH-KC26-SW,799665825591,105,105,0,0,105,105,N
BOCH-KC30-SW,799665825911,158,158,0,0,158,158,N
BOCH-KC31-SW,799665825997,167,167,0,0,167,167,N
BOCH-KC27-SW,799665825676,0,130,0,0,0,0,N
BOCH-KC22-SW,799665825270,0,174,0,0,0,0,N
BOCH-KC6-SW,799665828196,278,278,0,0,278,278,N
BOCH-193810,,123,,,0,0,0,N
BOCH-193810-84,797734456509,63,0,63,0,63,63,N
BOCH-193810-96,797734456516,0,0,0,0,0,0,N
BOCH-193810-108,797734456523,60,0,60,0,60,60,N
BOCH-193810-120,797734456530,0,0,0,0,0,0,N
BOCH-193810-CUS,799665833893,0,0,0,0,0,0,N
BOCH-193810-GR,,275,,,0,0,0,N
BOCH-193810-84-GR,797734456547,43,0,43,0,43,43,N
BOCH-193810-96-GR,797734456554,63,0,63,0,63,63,N
BOCH-193810-108-GR,797734456561,100,0,100,0,100,100,N
BOCH-193810-120-GR,797734456578,69,0,69,0,69,69,N
BOCH-120601-GR,,498,,,0,0,0,N
BOCH-120601-84-GR,797734456585,39,0,39,0,39,39,N
BOCH-120601-96-GR,797734456592,174,0,174,0,174,174,N
BOCH-120601-108-GR,797734456608,197,0,197,0,197,197,N
BOCH-120601-120-GR,797734456615,88,0,88,0,88,88,N
BOCH-191016,,607,,,0,0,0,N
BOCH-191016-84,797734455434,114,0,114,0,114,114,N
BOCH-191016-96,797734455441,187,0,187,0,187,187,N
BOCH-191016-108,797734455410,208,0,208,0,208,208,N
BOCH-191016-120,797734455427,98,0,98,0,98,98,N
BOCH-191016-CUS,799665833916,0,0,0,0,0,0,N
BOCH-KC8-SW,799665828318,273,273,0,0,273,273,N
BOCH-KC20-SW,799665825119,0,175,0,0,0,0,N
BOCH-201302,,-1,,,0,0,0,N
BOCH-201302-84,799665814922,10,0,10,0,10,10,N
BOCH-201302-96,799665814939,10,10,0,0,10,10,N
BOCH-201302-108,799665814946,71,28,43,0,71,71,N
BOCH-201302-120,799665814953,46,25,21,0,46,46,N
BOCH-201302-CUS,799665833978,0,0,0,0,0,0,N
BOCH-201302-GR,,-1,,,0,0,0,N
BOCH-201302-84-GR,799665814960,50,0,50,0,50,50,N
BOCH-201302-96-GR,799665814977,114,0,114,0,114,114,N
BOCH-201302-108-GR,799665814984,189,0,189,0,189,189,N
BOCH-201302-120-GR,799665814991,116,0,116,0,116,116,N
BOCH-174402-GR,,524,,,0,0,0,N
BOCH-174402-84-GR,797734456462,49,0,49,0,49,49,N
