z2t_ID,ZipCode,SalesTaxRate,RateState,ReportingCodeState,RateCounty,ReportingCodeCounty,RateCity,ReportingCodeCity,RateSpecialDistrict,ReportingCodeSpecialDistrict,City,PostOffice,State,County,ShippingTaxable,PrimaryRecord
74417,92328,8,7.5,0,0.5,14,0,,0,,Stove Pipe Wells,Death Valley,CA,Inyo,0,0
74414,92328,8,7.5,0,0.5,14,0,,0,,Death Valley,Death Valley,CA,Inyo,0,1
74419,92329,8,7.5,0,0.5,31,0,,0,,Phelan,Phelan,CA,San Bernardino,0,1
74420,92331,8,7.5,0,0.5,31,0,,0,,Fontana,Fontana,CA,San Bernardino,0,1
74422,92332,8,7.5,0,0.5,31,0,,0,,Goffs,Essex,CA,San Bernardino,0,0
74421,92332,8,7.5,0,0.5,31,0,,0,,Essex,Essex,CA,San Bernardino,0,1
74423,92333,8,7.5,0,0.5,31,0,,0,,Fawnskin,Fawnskin,CA,San Bernardino,0,1
74424,92334,8,7.5,0,0.5,31,0,,0,,Fontana,Fontana,CA,San Bernardino,0,1
74425,92335,8,7.5,0,0.5,31,0,,0,,Fontana,Fontana,CA,San Bernardino,0,1
74426,92336,8,7.5,0,0.5,31,0,,0,,Fontana,Fontana,CA,San Bernardino,0,1
74427,92337,8,7.5,0,0.5,31,0,,0,,Fontana,Fontana,CA,San Bernardino,0,1
74430,92338,8,7.5,0,0.5,31,0,,0,,Newberry Springs,Ludlow,CA,San Bernardino,0,0
74428,92338,8,7.5,0,0.5,31,0,,0,,Ludlow,Ludlow,CA,San Bernardino,0,1
74431,92339,8,7.5,0,0.5,31,0,,0,,Fallsvale,Forest Falls,CA,San Bernardino,0,0
74436,92339,8,7.5,0,0.5,31,0,,0,,Forest Falls,Forest Falls,CA,San Bernardino,0,1
74437,92340,8,7.5,0,0.5,31,0,,0,,Hesperia,Hesperia,CA,San Bernardino,0,1
74438,92341,8,7.5,0,0.5,31,0,,0,,Green Valley Lake,Green Valley Lake,CA,San Bernardino,0,1
74440,92342,8,7.5,0,0.5,31,0,,0,,Helendale,Helendale,CA,San Bernardino,0,1
74441,92342,8,7.5,0,0.5,31,0,,0,,Silver Lakes,Helendale,CA,San Bernardino,0,0
74443,92344,8,7.5,0,0.5,31,0,,0,,Oak Hills,Hesperia,CA,San Bernardino,0,0
74442,92344,8,7.5,0,0.5,31,0,,0,,Hesperia,Hesperia,CA,San Bernardino,0,1
74444,92345,8,7.5,0,0.5,31,0,,0,,Hesperia,Hesperia,CA,San Bernardino,0,1
74445,92346,8,7.5,0,0.5,31,0,,0,,Highland,Highland,CA,San Bernardino,0,1
74447,92347,8,7.5,0,0.5,31,0,,0,,Lockhart,Hinkley,CA,San Bernardino,0,0
74446,92347,8,7.5,0,0.5,31,0,,0,,Hinkley,Hinkley,CA,San Bernardino,0,1
74452,92350,8,7.5,0,0.5,31,0,,0,,Loma Linda University,Loma Linda,CA,San Bernardino,0,0
74448,92350,8,7.5,0,0.5,31,0,,0,,Loma Linda,Loma Linda,CA,San Bernardino,0,1
74453,92352,8,7.5,0,0.5,31,0,,0,,Lake Arrowhead,Lake Arrowhead,CA,San Bernardino,0,1
74456,92354,8,7.5,0,0.5,31,0,,0,,North Loma Linda,Loma Linda,CA,San Bernardino,0,0
74455,92354,8,7.5,0,0.5,31,0,,0,,Loma Linda,Loma Linda,CA,San Bernardino,0,1
74457,92356,8,7.5,0,0.5,31,0,,0,,Lucerne Valley,Lucerne Valley,CA,San Bernardino,0,1
74460,92357,8,7.5,0,0.5,31,0,,0,,Veterans' Hospital,Loma Linda,CA,San Bernardino,0,0
74459,92357,8,7.5,0,0.5,31,0,,0,,Loma Linda,Loma Linda,CA,San Bernardino,0,1
74461,92358,8,7.5,0,0.5,31,0,,0,,Lytle Creek,Lytle Creek,CA,San Bernardino,0,1
74463,92359,8,7.5,0,0.5,31,0,,0,,Mountain Home Village,Mentone,CA,San Bernardino,0,0
74462,92359,8,7.5,0,0.5,31,0,,0,,Mentone,Mentone,CA,San Bernardino,0,1
74464,92363,8,7.5,0,0.5,31,0,,0,,Chemehuevi,Needles,CA,San Bernardino,0,0
74468,92363,8,7.5,0,0.5,31,0,,0,,Chemehuevi Valley,Needles,CA,San Bernardino,0,0
74470,92363,8,7.5,0,0.5,31,0,,0,,Needles,Needles,CA,San Bernardino,0,1
313794,92363,8,7.5,0,0.5,31,0,,0,,Havasu Lake,Needles,CA,San Bernardino,0,0
