SKU,SalePrice,BaseCustomPrice,DisplayOrder,Weight
CRC-MYTH809-84,139,139,1,6
CRC-MYTH809-96,154,154,2,7
CRC-MYTH809-CUS,0,0,5,2.4
CRC-MYTH809-SW,1.99,0,999,0.05
CZCH-CTZ1,39,0,999,0
CZCH-CTZ1-108,59,59,2,0
CZCH-CTZ1-120,69,69,2,0
CZCH-CTZ1-84,39,39,1,0
CZCH-CTZ1-96,49,49,2,0
CZCH-CTZ1-CUS,0,0,5,0
CZCH-CTZ12,39,0,999,0
CZCH-CTZ12-108,59,59,2,0
CZCH-CTZ12-120,69,69,2,0
CZCH-CTZ12-84,39,39,1,0
CZCH-CTZ12-96,49,49,2,0
CZCH-CTZ12-CUS,0,0,5,0
CZCH-CTZ2,39,0,999,0
CZCH-CTZ2-108,59,59,2,0
CZCH-CTZ2-120,69,69,2,0
CZCH-CTZ2-84,39,39,1,0
CZCH-CTZ2-96,49,49,2,0
CZCH-CTZ2-CUS,0,0,5,0
CZCH-CTZ5,39,0,999,0
CZCH-CTZ5-108,59,59,2,0
CZCH-CTZ5-120,69,69,2,0
CZCH-CTZ5-84,39,39,1,0
CZCH-CTZ5-96,49,49,2,0
CZCH-CTZ5-CUS,0,0,5,0
CZCH-CTZ6,39,0,999,0
CZCH-CTZ6-108,59,59,2,0
CZCH-CTZ6-120,69,69,2,0
CZCH-CTZ6-84,39,39,1,0
CZCH-CTZ6-96,49,49,2,0
CZCH-CTZ6-CUS,0,0,5,0
CZCH-CTZ9,39,0,999,0
CZCH-CTZ9-108,59,59,2,0
CZCH-CTZ9-120,69,69,2,0
CZCH-CTZ9-84,39,39,1,0
CZCH-CTZ9-96,49,49,2,0
CZCH-CTZ9-CUS,0,0,5,0
DIS-ID1,169,0,999,5
DIS-ID1-108,189,189,3,6
DIS-ID1-120,204,204,4,6
DIS-ID1-84,169,169,1,5
DIS-ID1-96,179,179,2,5
DIS-ID1-CUS,0,0,5,2.4
DIS-ID1-FB,40,40,4,1
DIS-ID1-SW,0.99,0,999,0.05
DIS-ID112,169,0,999,5
DIS-ID112-108,189,189,3,6
DIS-ID112-120,204,204,4,6
DIS-ID112-84,169,169,1,5
DIS-ID112-96,179,179,2,5
DIS-ID112-CUS,0,0,5,2.4
DIS-ID112-FB,40,40,13,1
DIS-ID112-SW,0.99,0,999,0.05
DIS-ID124,89,0,999,6
DIS-ID124-108,189,189,3,6
DIS-ID124-120,204,204,4,6
DIS-ID124-84,89,169,1,6
DIS-ID124-96,179,179,2,5
DIS-ID124-CUS,0,0,5,2.4
DIS-ID124-FB,40,40,6,1
DIS-ID124-SW,0.99,0,999,0.05
DIS-ID15,169,0,0,5
DIS-ID15-108,189,189,3,6
DIS-ID15-120,204,204,4,6
DIS-ID15-84,169,169,1,5
DIS-ID15-96,179,179,2,5
DIS-ID15-CUS,0,0,5,2.4
DIS-ID15-FB,40,40,3,1
DIS-ID15-SW,0.99,0,999,0.05
DIS-ID20,169,0,999,5
DIS-ID20-108,189,189,3,6
DIS-ID20-120,204,204,4,6
DIS-ID20-84,169,169,1,5
DIS-ID20-96,179,179,2,5
DIS-ID20-CUS,0,0,5,2.4
DIS-ID20-FB,40,40,2,1
DIS-ID20-SW,0.99,0,999,0.05
DIS-ID221,169,0,999,5
DIS-ID221-108,189,189,3,6
DIS-ID221-120,204,204,4,6
DIS-ID221-84,169,169,1,5
DIS-ID221-96,179,179,2,5
DIS-ID221-CUS,0,0,5,2.4
DIS-ID221-FB,40,40,8,1
DIS-ID221-SW,0.99,0,999,0.05
DIS-ID224,169,0,999,5
DIS-ID224-108,189,189,3,6
DIS-ID224-120,204,204,4,6
DIS-ID224-84,169,169,1,5
DIS-ID224-96,179,179,2,5
DIS-ID224-CUS,0,0,5,2.4
DIS-ID224-FB,40,40,5,1
DIS-ID224-SW,0.99,0,999,0.05
DIS-ID37,169,0,999,5
DIS-ID37-108,189,189,3,6
DIS-ID37-120,204,204,4,6
DIS-ID37-84,169,169,1,5
DIS-ID37-96,179,179,2,5
DIS-ID37-CUS,0,0,5,2.4
DIS-ID37-FB,40,40,7,1
DIS-ID37-SW,0.99,0,999,0.05
DIS-ID50,169,0,1,5
DIS-ID50-108,189,189,3,6
DIS-ID50-120,204,204,4,6
DIS-ID50-84,169,169,1,5
DIS-ID50-96,179,179,2,5
DIS-ID50-CUS,0,0,0,2.4
DIS-ID50-FB,40,40,15,1
DIS-ID50-SW,0.99,0,999,0.05
DIS-ID511,169,0,999,5
DIS-ID511-108,189,189,3,6
DIS-ID511-120,204,204,4,6
DIS-ID511-84,169,169,1,5
DIS-ID511-96,179,179,2,5
DIS-ID511-CUS,0,0,5,2.4
DIS-ID511-FB,40,40,10,1
DIS-ID511-SW,0.99,0,999,0.05
DIS-ID68,169,0,999,5
DIS-ID68-108,189,189,3,6
DIS-ID68-120,204,204,4,6
