SKU,Inventory,PRICE,DISCONTINUED,Active,Name,subsku,upc,inventory parent
"VPCH601-SW","74","0.0000",,Inactive,"Signature Ivory Blackout Velvet Swatch","VPCH601-SW","799665830663","74"
"SHCH-VOL3-SW","472","0.6000",,Inactive,"Signature Off White Sheer Swatch","SHCH-VOL3-SW","799418015545","472"
"SHCH-VOL1-SW","526","0.6000",,Inactive,"Signature White Sheer Swatch","SHCH-VOL1-SW","799418015538","526"
"SHCH-VOL3-SW","472","0.6000",,Inactive,"Solid Off White Voile Poly Sheer Swatch","SHCH-VOL3-SW","799418015545","472"
"SHCH-VOL1-SW","526","0.6000",,Inactive,"Solid White Voile Poly Sheer Swatch","SHCH-VOL1-SW","799418015538","526"
"PRTW-D22-SW","35","0.9900",,Inactive,"Sorong Printed Cotton Swatch","PRTW-D22-SW","799665826796","35"
"DIS-ID20-SW","30","0.9900",,Active,"Sunrise Gold Textured Dupioni Silk Swatch","DIS-ID20-SW","799665810894","30"
"PRTW-D29B-SW","34","0.9900",,Inactive,"Tide Pools Printed Cotton Swatch","PRTW-D29B-SW","799665827199","34"
"PRTW-D29A-SW","34","0.9900",,Inactive,"Tide Sands Printed Cotton Swatch","PRTW-D29A-SW","799665827113","34"
"SHCH-EMB20132B-SW","187","0.9900",,Inactive,"Vita Off White Embroidered Sheer Swatch","SHCH-EMB20132B-SW","799418016023","187"
"SHCH-EMB20132A-SW","184","0.9900",,Inactive,"Vita Taupe Gold Embroidered Sheer Swatch","SHCH-EMB20132A-SW","799418015996","184"
"PTCH-JTSP207-SW","127","0.9900",,Inactive,"Wisteria Blue Faux Silk Taffeta Swatch","PTCH-JTSP207-SW","799665824310","127"
"PTSCH-12012-SW","27","0.9900",,Active,"Marin Faux Silk Taffeta Stripe Swatch","PTSCH-12012-SW","799665815554","27"
"PTCH-JTSP205-SW","46","0.9900",,Active,"Harvest Orange Faux Silk Taffeta Swatch","PTCH-JTSP205-SW","799665824150","46"
"PTCH-JTSP209-SW","93","0.9900",,Active,"Copper Brown Faux Silk Taffeta Swatch","PTCH-JTSP209-SW","799665824471","93"
"PTCH-JTSP102-SW","305","0.9900",,Active,"Dahlia Faux Silk Taffeta Swatch","PTCH-JTSP102-SW","799665812898","305"
"PTCH-JTSP202-SW","144","0.9900",,Active,"Flamingo Pink Faux Silk Taffeta Swatch","PTCH-JTSP202-SW","799665823917","144"
"PTCH-JTSP203-SW","150","0.9900",,Active,"Fuchsia Rose Faux Silk Taffeta Swatch","PTCH-JTSP203-SW","799665823993","150"
"PTCH-JTSP204-SW","152","0.9900",,Active,"Hollywood Red Faux Silk Taffeta Swatch","PTCH-JTSP204-SW","799665824075","152"
"PTCH-JTSP206-SW","23","0.9900",,Active,"Gold Nugget Faux Silk Taffeta Swatch","PTCH-JTSP206-SW","799665824235","23"
"PTCH-JTSP207-SW","127","0.9900",,Active,"Wisteria Blue Faux Silk Taffeta Swatch","PTCH-JTSP207-SW","799665824310","127"
"PTCH-JTSP208-SW","156","0.9900",,Active,"Emerald Green Faux Silk Taffeta Swatch","PTCH-JTSP208-SW","799665824396","156"
"PTCH-JTSP104-SW","447","0.9900",,Active,"Rum Raisin Faux Silk Taffeta Swatch","PTCH-JTSP104-SW","799665824556","447"
"PTCH-JTSP001-SW","263","0.9900",,Active,"Azul Faux Silk Taffeta Swatch","PTCH-JTSP001-SW","799665824631","263"
"PTCH-JTSP100-SW","146","0.9900",,Active,"Fern Faux Silk Taffeta Swatch","PTCH-JTSP100-SW","799665812836","146"
"PTCH-JTSP005-SW","30","0.9900",,Active,"Graphite Faux Solid Taffeta Swatch","PTCH-JTSP005-SW","799665812812","30"
"VPCH-120601-SW","74","0.9900",,Inactive,"Signature Ivory Velvet Swatch","VPCH-120601-SW","799665830663","74"
"VPCH-120601-SW","74","0.9900",,Active,"Signature Ivory Velvet Swatch","VPCH-120601-SW","799665830663","74"
"BOCH-131009-SW","157","0.9900",,Active,"Biscotti Blackout Swatch","BOCH-131009-SW","799665831226","157"
"BOCH-120601-SW","170","0.9900",,Active,"Eggnog Blackout Swatch","BOCH-120601-SW","799665831196","170"
"PRTW-D17-SW","34","0.9900",,Active,"Cabana Black Printed Cotton Swatch","PRTW-D17-SW","799665827670","34"
"PRTW-D31-SW","35","0.9900",,Active,"Cabana Spice Printed Cotton Swatch","PRTW-D31-SW","799665827359","35"
"PRTW-D26-SW","0","0.9900",,Active,"Deuville Printed Cotton Swatch","PRTW-D26-SW","799665826956","0"
"PRTW-D24A-SW","35","0.9900",,Active,"Ikat Blue Printed Cotton Swatch","PRTW-D24A-SW","799665822972","35"
"PRTW-D13-SW","0","0.9900",,Active,"Jakarta Khaki Printed Cotton Swatch","PRTW-D13-SW","799665827595","0"
