SKU,Discontinue,ID,Name,UPC,image
"DIS-ID7806","Test by karan","testtt","Cashmere Textured Dupioni Silk Curtain","797734449976",""
"PTSCH-11087","Test by karan","testtt","Catalina Faux Silk Taffeta Stripe Curtain","610395223429",""
"CZCH-CTZ12","Test by karan","testtt","Charcoal Cotenza Curtain","610395220916",""
"CZCH-CTZ12-GR","Test by karan","testtt","Charcoal Cotenza Grommet Curtain","610395220954",""
"BOCH-KC30","Test by karan","testtt","Charleston Stripe Blackout Curtain","799665825850",""
"BOCH-KC30","Test by karan","testtt","CharlestonStripe  Blackout Curtain","799665825881",""
"DIS-ID112","Test by karan","testtt","Chili Pepper Textured Dupioni Silk Curtain","797734450255",""
"VCCH-VET1202","Test by karan","testtt","Chinchilla Grey Vintage Cotton Velvet Curtain","610395227335",""
"DIS-ID124","Test by karan","testtt","Chocolate Textured Dupioni Silk Curtain","797734449815",""
"CZCH-CTZ5","Test by karan","testtt","Citron Cotenza Curtain","610395220992",""
"CZCH-CTZ5-GR","Test by karan","testtt","Citron Cotenza Grommet Curtain","610395221036",""
"VCCH-VET1203","Test by karan","testtt","Claret Red Vintage Cotton Velvet Curtain","610395227373",""
"SHCH-EMBOCS3595","Test by karan","testtt","Cleopatra Gold Embroidered Sheer Curtain","799665834869",""
"PDCH-KBS6","Test by karan","testtt","Coffee Bean Vintage Textured Faux Dupioni Silk Curtain","797734455809",""
"PTCH-JTSP209","Test by karan","testtt","Copper Brown Faux Silk Taffeta Curtain","799665824419",""
"PTSCH-11093","Test by karan","testtt","Crockett Faux Silk Taffeta Stripe Curtain","797734451788",""
"PTCH-JTSP102","Test by karan","testtt","Dahlia Faux Silk Taffeta Curtain","610395224044",""
"FHLCH-YL7178117","Test by karan","testtt","Del Mar Gray Linen Blend Stripe Curtain","799665828417",""
"FHLCH-YL7176217","Test by karan","testtt","Del Mar Stone Linen Blend Stripe Curtain","799665830021",""
"PRTW-D26","Test by karan","testtt","Deuville Printed Cotton Curtain","799665826895",""
"SHCH-VOL1-SLDW","Test by karan","testtt","Doublewide Solid White Voile Poly Sheer Curtain","799665826413",""
"VCCH-VET12010","Test by karan","testtt","Ebony Black Vintage Cotton Velvet Curtain","610395227656",""
"BOCH-193810","Test by karan","testtt","Eclipse Blackout Curtain","797734456509",""
"BOCH-193810-GR","Test by karan","testtt","Eclipse Grommet Blackout Curtain","797734456547",""
"BOCH601","Test by karan","testtt","Egg Nog Blackout Curtain","797734455274",""
"BOCH601-GR","Test by karan","testtt","Egg Nog Grommet Blackout Curtain","797734456585",""
"PTCH-JTSP120","Test by karan","testtt","Eggshell Faux Silk Taffeta Curtain","610395224082",""
"PTCH-JTSP208","Test by karan","testtt","Emerald Green Faux Silk Taffeta Curtain","799665824334",""
"PTCH-JTSP100","Test by karan","testtt","Fern Faux Silk Taffeta Curtain","610395224006",""
"PTFFLK-C23A","Test by karan","testtt","Filigree Blue Flocked Faux Silk Curtain","799418011998",""
"PTFFLK-C23B","Test by karan","testtt","Filigree Pearl Flocked Faux Silk Curtain","799418012063",""
"PTFFLK-C5","Test by karan","testtt","Fiori Dahlia Flocked Faux Silk Curtain","610395230656",""
"PTFFLK-C7","Test by karan","testtt","Firenze Fern Flocked Faux Silk Curtain","610395230731",""
"PTCH-JTSP202","Test by karan","testtt","Flamingo Pink Faux Silk Taffeta Curtain","799665823856",""
"PDCH-KBS8","Test by karan","testtt","Flax Gold Vintage Textured Faux Dupioni Silk Curtain","797734455847",""
"PTCH-JTSP203","Test by karan","testtt","Fuchsia Rose Faux Silk Taffeta Curtain","799665823931",""
"SHFLNCH-M012","Test by karan","testtt","Gardenia Faux Linen Sheer Curtain","610395226413",""
"BOCH-KC31","Test by karan","testtt","Georgetown Stripe Blackout Curtain","799665825935",""
"PTCH-JTSP005","Test by karan","testtt","Graphite Faux Silk Taffeta Curtain","610395224433",""
"FHLCH-YL3012","Test by karan","testtt","Grenada Natural Linen Blend Stripe Curtain","799665828813",""
"BOCH-KC36","Test by karan","testtt","Haight Sunshine Blackout Curtain","799665826338",""
"BOCH-KC27","Test by karan","testtt","Henna Blackout Curtain","799665825614",""
"FHLCH-YL5003","Test by karan","testtt","Hilo Natural Linen Blend Solid Curtain","799665829056",""
"PTCH-JTSP54","Test by karan","testtt","Honey Faux Silk Taffeta Curtain","610395224266",""
"PRTW-D25","Test by karan","testtt","Honeycomb Printed Cotton Curtain","799665823078",""
"PDCH-KBS1","Test by karan","testtt","Ice Vintage Textured Faux Dupioni Silk Curtain","797734455601",""
"PRTW-D24B","Test by karan","testtt","Ikat Black Printed Cotton Curtain","799665822996",""
"PRTW-D24A","Test by karan","testtt","Ikat Blue Printed Cotton Curtain","799665822910",""
"VCCH-VET1205","Test by karan","testtt","Indigo Blue Vintage Cotton Velvet Curtain","610395227458",""
"VCCH-VET1209","Test by karan","testtt","Iron Grey Vintage Cotton Velvet Curtain","610395227618",""
"BOCH-191016","Test by karan","testtt","Java Blackout Curtain","797734455434",""
"PTCH-JTSP190912","Test by karan","testtt","Java Faux Silk Taffeta Curtain","610395224129",""
"BOCH-191016-GR","Test by karan","testtt","Java Grommet Blackout Curtain","797734456745",""
"BOCH-190303","Test by karan","testtt","Jet Black Blackout Curtain","797734455397",""
"PTCH-JTSP41","Test by karan","testtt","Jet Black Faux Silk Taffeta Curtain","610395224396",""
"BOCH-190303-GR","Test by karan","testtt","Jet Black Grommet Blackout Curtain","797734456707",""
"SHCH-EMBOCS3293","Test by karan","testtt","Juliette Ivory Embroidered Sheer Curtain","799665834746",""
