ID,image,Discontinue,SKU,Name,UPC
"testtt","",,"PTFFLK-C30","Parisian Tan Flocked Faux Silk Curtain","799418012278"
"testtt","",,"PTSCH-13400","Park Ave Faux Silk Taffeta Stripe Curtain","799665833442"
"testtt","",,"PTFFLK-C22B","Pavillion Pearl Flocked Faux Silk Curtain","799418011929"
"testtt","",,"PTFFLK-C22A","Pavillion Silver Flocked Faux Silk Curtain","799418011851"
"testtt","",,"PDCH-KBS14","Peacock Vintage Textured Faux Dupioni Silk Curtain","797734456127"
"testtt","",,"DIS-ID7727","Pearl Textured Dupioni Silk Curtain","797734449938"
"testtt","",,"PRTW-D30","Picante Stripes Printed Cotton Curtain","799665827212"
"testtt","",,"BOCH-KC91B","Pink Polka Dot Blackout Curtain","610395225973"
"testtt","",,"PTFFLK-C21B","Piscean Bone Flocked Faux Silk Curtain","799418011783"
"testtt","",,"PTFFLK-C21A","Piscean Pearl Flocked Faux Silk Curtain","799418011714"
"testtt","",,"BOCH-KC8","Pistachio Stripe Blackout Curtain","610395225898"
"testtt","",,"PTCH-JTSP112","Platinum Faux Silk Taffeta Curtain","610395224358"
"testtt","",,"CZCH-CTZ1","Polar White Cotenza Curtain","610395221395"
"testtt","",,"CZCH-CTZ1-GR","Polar White Cotenza Grommet Curtain","610395221432"
"testtt","",,"PTFFLK-C26","Pompeii Blue Flocked Faux Silk Curtain","799418012209"
"testtt","",,"BOCH-KC28","Portside Stripe Blackout Curtain","799665825690"
"testtt","",,"PTSCH-11089","Presidio Faux Silk Taffeta Stripe Curtain","797734451825"
"testtt","",,"PTSCH-11083","Regency Faux Silk Taffeta Stripe Curtain","610395223382"
"testtt","",,"PTFFLK-C2","Renaissance Paprika Flocked Faux Silk Curtain","797734455243"
"testtt","",,"DIS-ID37","Restful Green Textured Dupioni Silk Curtain","797734450057"
"testtt","",,"PTSCH-11095","Rialto Faux Silk Taffeta Stripe Curtain","610395223504"
"testtt","",,"PTCH-JTSP5","Robin's Egg Faux Silk Taffeta Curtain","610395224280"
"testtt","",,"PTSCH-13401","Roxbury Faux Silk Taffeta Stripe Curtain","799665833527"
"testtt","",,"PDCH-KBS5","Ruby Vintage Textured Faux Dupioni Silk Curtain","797734455762"
"testtt","",,"CZCH-CTZ9","Rusty Cotenza Curtain","610395221470"
"testtt","",,"CZCH-CTZ9-GR","Rusty Cotenza Grommet Curtain","610395221517"
"testtt","",,"PTSCH-32012","Sake Faux Silk Taffeta Stripe Curtain","610395222392"
"testtt","",,"BOCH-KC20","Santos Blackout Curtain","799665825058"
"testtt","",,"BOCH-KC32","Savannah Stripe  Blackout Curtain","799665826024"
"testtt","",,"BOCH-KC32","Savannah Stripe Blackout Curtain","799665826017"
"testtt","",,"BOCH-KC32","Savannah Stripe  Blackout Curtain","799665826031"
"testtt","",,"BOCH-KC25","Seville Grey & Gold Blackout Curtain","799665825454"
"testtt","",,"BOCH-KC21","Seville Grey & Silver Blackout Curtain","799665825133"
