ID,image,Discontinue,SKU,Name,UPC
"testtt","","Test by karan","PTSCH-42012","Burma Faux Silk Taffeta Stripe Curtain","610395222439"
"testtt","","Test by karan","VCCH-VET1208","Burnt Olive Vintage Cotton Velvet Curtain","610395227571"
"testtt","","Test by karan","PDCH-KBS16","Burnt Orange Vintage Textured Faux Dupioni Silk Curtain","797734458718"
"testtt","","Test by karan","PRTW-D31","Cabana Spice Printed Cotton Curtain","799665827298"
"testtt","","Test by karan","PRTW-D32","Cabana Teal Printed Cotton Curtain","799665827373"
"testtt","","Test by karan","PRTW-D33","Cabana Yellow Printed Cotton Curtain","799665827458"
"testtt","","Test by karan","SHCH-EMBOCS3231","Camille Taupe Gold Embroidered Sheer Curtain","799665834784"
"testtt","","Test by karan","PTSCH-SLK218","Cappuccino Faux Silk Taffeta Stripe Curtain","610395223306"
"testtt","","Test by karan","BOCH-KC35","Casablanca Rose Blackout Curtain","799665826253"
"testtt","","Test by karan","BOCH-KC26","Casablanca Teal Blackout Curtain","799665825539"
"testtt","","Test by karan","DIS-ID7806","Cashmere Textured Dupioni Silk Curtain","797734449976"
"testtt","","Test by karan","PTSCH-11087","Catalina Faux Silk Taffeta Stripe Curtain","610395223429"
"testtt","","Test by karan","CZCH-CTZ12","Charcoal Cotenza Curtain","610395220916"
"testtt","","Test by karan","CZCH-CTZ12-GR","Charcoal Cotenza Grommet Curtain","610395220954"
"testtt","","Test by karan","BOCH-KC30","Charleston Stripe Blackout Curtain","799665825850"
"testtt","","Test by karan","BOCH-KC30","CharlestonStripe  Blackout Curtain","799665825881"
"testtt","","Test by karan","DIS-ID112","Chili Pepper Textured Dupioni Silk Curtain","797734450255"
"testtt","","Test by karan","VCCH-VET1202","Chinchilla Grey Vintage Cotton Velvet Curtain","610395227335"
"testtt","","Test by karan","DIS-ID124","Chocolate Textured Dupioni Silk Curtain","797734449815"
"testtt","","Test by karan","CZCH-CTZ5","Citron Cotenza Curtain","610395220992"
"testtt","","Test by karan","CZCH-CTZ5-GR","Citron Cotenza Grommet Curtain","610395221036"
"testtt","","Test by karan","VCCH-VET1203","Claret Red Vintage Cotton Velvet Curtain","610395227373"
"testtt","","Test by karan","SHCH-EMBOCS3595","Cleopatra Gold Embroidered Sheer Curtain","799665834869"
"testtt","","Test by karan","PDCH-KBS6","Coffee Bean Vintage Textured Faux Dupioni Silk Curtain","797734455809"
"testtt","","Test by karan","PTCH-JTSP209","Copper Brown Faux Silk Taffeta Curtain","799665824419"
"testtt","","Test by karan","PTSCH-11093","Crockett Faux Silk Taffeta Stripe Curtain","797734451788"
"testtt","","Test by karan","PTCH-JTSP102","Dahlia Faux Silk Taffeta Curtain","610395224044"
"testtt","","Test by karan","FHLCH-YL7178117","Del Mar Gray Linen Blend Stripe Curtain","799665828417"
"testtt","","Test by karan","FHLCH-YL7176217","Del Mar Stone Linen Blend Stripe Curtain","799665830021"
"testtt","","Test by karan","PRTW-D26","Deuville Printed Cotton Curtain","799665826895"
"testtt","","Test by karan","SHCH-VOL1-SLDW","Doublewide Solid White Voile Poly Sheer Curtain","799665826413"
"testtt","","Test by karan","VCCH-VET12010","Ebony Black Vintage Cotton Velvet Curtain","610395227656"
"testtt","","Test by karan","BOCH-193810","Eclipse Blackout Curtain","797734456509"
"testtt","","Test by karan","BOCH-193810-GR","Eclipse Grommet Blackout Curtain","797734456547"
"testtt","","Test by karan","BOCH601","Egg Nog Blackout Curtain","797734455274"
"testtt","","Test by karan","BOCH601-SW","Egg Nog Blackout Swatch","799665831196"
"testtt","","Test by karan","BOCH601-GR","Egg Nog Grommet Blackout Curtain","797734456585"
"testtt","","Test by karan","PTCH-JTSP120","Eggshell Faux Silk Taffeta Curtain","610395224082"
"testtt","","Test by karan","PTCH-JTSP208","Emerald Green Faux Silk Taffeta Curtain","799665824334"
"testtt","","Test by karan","PTCH-JTSP100","Fern Faux Silk Taffeta Curtain","610395224006"
"testtt","","Test by karan","PTFFLK-C23A","Filigree Blue Flocked Faux Silk Curtain","799418011998"
"testtt","","Test by karan","PTFFLK-C23B","Filigree Pearl Flocked Faux Silk Curtain","799418012063"
"testtt","","Test by karan","PTFFLK-C5","Fiori Dahlia Flocked Faux Silk Curtain","610395230656"
