Part Number,Description,Quantity of Products,ETA Backorder date,DISCONTINUED,Qty
"BOCH-201305-120-GR","Half Price Drapes BOCH-201305 Precious Grommet Blackout Curtain (2 Panels)","0",,"No",
"BOCH-201305-84","Half Price Drapes BOCH-201305 Precious Blackout Curtain (2 Panels)","0","'07/04/15","No","30"
"BOCH-201305-84-GR","Half Price Drapes BOCH-201305 Precious Grommet Blackout Curtain (2 Panels)","0","'07/04/15","No","80"
"BOCH-201305-96","Half Price Drapes BOCH-201305 Precious Blackout Curtain (2 Panels)","0","'07/04/15","No","100"
"BOCH-201305-96-GR","Half Price Drapes BOCH-201305 Precious Grommet Blackout Curtain (2 Panels)","213","'07/04/15","No","100"
"BOCH-KC1-108","Half Price Drapes BOCH-KC1 Sundip Stripe Blackout Curtain","335",,"No",
"BOCH-KC1-120","Half Price Drapes BOCH-KC1 Sundip Stripe Blackout Curtain","79",,"No",
"BOCH-KC1-84","Half Price Drapes BOCH-KC1 Sundip Stripe Blackout Curtain","199",,"No",
"BOCH-KC1-96","Half Price Drapes BOCH-KC1 Sundip Stripe Blackout Curtain","232",,"No",
"BOCH-KC20-108","Half Price Drapes BOCH-KC20 Santos Blackout Curtain","98",,"No",
"BOCH-KC20-120","Half Price Drapes BOCH-KC20 Santos Blackout Curtain","71",,"No",
"BOCH-KC20-84","Half Price Drapes BOCH-KC20 Santos Blackout Curtain","0",,"No",
"BOCH-KC20-96","Half Price Drapes BOCH-KC20 Santos Blackout Curtain","45",,"No",
"BOCH-KC21-108","Half Price Drapes BOCH-KC2 Seville Blackout Curtain","323","'07/25/15","No","275"
"BOCH-KC21-120","Half Price Drapes BOCH-KC2 Seville Blackout Curtain","159",,"No",
"BOCH-KC21-84","Half Price Drapes BOCH-KC2 Seville Blackout Curtain","80","'07/25/15","No","40"
"BOCH-KC21-96","Half Price Drapes BOCH-KC2 Seville Blackout Curtain","269","'07/25/15","No","240"
"BOCH-KC22-108","Half Price Drapes BOCH-KC22 Kabuchi Blackout Curtain","129",,"No",
"BOCH-KC22-120","Half Price Drapes BOCH-KC22 Kabuchi Blackout Curtain","43",,"No",
"BOCH-KC22-84","Half Price Drapes BOCH-KC22 Kabuchi Blackout Curtain","0",,"No",
"BOCH-KC22-96","Half Price Drapes BOCH-KC22 Kabuchi Blackout Curtain","66",,"No",
"BOCH-KC23-108","Half Price Drapes BOCH-KC23 Trellise Blackout Curtain","0","'05/26/15","No","73"
"BOCH-KC23-120","Half Price Drapes BOCH-KC23 Trellise Blackout Curtain","0","'05/26/15","No","20"
"BOCH-KC23-84","Half Price Drapes BOCH-KC23 Trellise Blackout Curtain","0","'05/26/15","No","212"
"BOCH-KC23-96","Half Price Drapes BOCH-KC23 Trellise Blackout Curtain","0","'05/26/15","No","218"
"BOCH-KC24-108","Half Price Drapes BOCH-KC24 Aegean Blackout Curtain","100",,"No",
"BOCH-KC24-120","Half Price Drapes BOCH-KC24 Aegean Blackout Curtain","46",,"No",
"BOCH-KC24-84","Half Price Drapes BOCH-KC24 Aegean Blackout Curtain","0",,"No",
"BOCH-KC24-96","Half Price Drapes BOCH-KC24 Aegean Blackout Curtain","117",,"No",
"BOCH-KC25-108","Half Price Drapes BOCH-KC2 Seville Blackout Curtain","87",,"No",
"BOCH-KC25-120","Half Price Drapes BOCH-KC2 Seville Blackout Curtain","0",,"No",
"BOCH-KC25-84","Half Price Drapes BOCH-KC2 Seville Blackout Curtain","75",,"No",
"BOCH-KC25-96","Half Price Drapes BOCH-KC2 Seville Blackout Curtain","94",,"No",
"BOCH-KC26-108","Half Price Drapes BOCH-KC Casablanca Blackout Curtain","209","'05/11/15","No","120"
"BOCH-KC26-120","Half Price Drapes BOCH-KC Casablanca Blackout Curtain","72","'05/11/15","No","50"
"BOCH-KC26-84","Half Price Drapes BOCH-KC Casablanca Blackout Curtain","198","'05/11/15","No","160"
"BOCH-KC26-96","Half Price Drapes BOCH-KC Casablanca Blackout Curtain","190","'05/11/15","No","170"
"BOCH-KC27-108","Half Price Drapes BOCH-KC27 Henna Blackout Curtain","0","'05/26/15","No","217"
"BOCH-KC27-120","Half Price Drapes BOCH-KC27 Henna Blackout Curtain","119","'05/26/15","No","108"
"BOCH-KC27-84","Half Price Drapes BOCH-KC27 Henna Blackout Curtain","0","'05/26/15","No","635"
"BOCH-KC27-96","Half Price Drapes BOCH-KC27 Henna Blackout Curtain","269","'05/26/15","No","633"
"BOCH-KC28-108","Half Price Drapes BOCH-KC28 Portside Blackout Curtain","87",,"No",
"BOCH-KC28-120","Half Price Drapes BOCH-KC28 Portside Blackout Curtain","61",,"No",
"BOCH-KC28-84","Half Price Drapes BOCH-KC28 Portside Blackout Curtain","0",,"No",
"BOCH-KC28-96","Half Price Drapes BOCH-KC28 Portside Blackout Curtain","65",,"No",
"BOCH-KC29-108","Half Price Drapes BOCH-KC29 Key Largo Blackout Curtain","160",,"No",
"BOCH-KC29-120","Half Price Drapes BOCH-KC29 Key Largo Blackout Curtain","72",,"No",
"BOCH-KC29-84","Half Price Drapes BOCH-KC29 Key Largo Blackout Curtain","24",,"No",
"BOCH-KC29-96","Half Price Drapes BOCH-KC29 Key Largo Blackout Curtain","101",,"No",
"BOCH-KC30-108","Half Price Drapes BOCH-KC30 Charleston Blackout Curtain","118","'05/26/15","No","82"
"BOCH-KC30-120","Half Price Drapes BOCH-KC30 Charleston Blackout Curtain","30","'05/26/15","No","103"
"BOCH-KC30-84","Half Price Drapes BOCH-KC30 Charleston Blackout Curtain","75","'05/26/15","No","168"
"BOCH-KC30-96","Half Price Drapes BOCH-KC30 Charleston Blackout Curtain","80","'05/26/15","No","257"
"BOCH-KC31-108","Half Price Drapes BOCH-KC31 Georgetown Blackout Curtain","199","'05/26/15","No","86"
"BOCH-KC31-120","Half Price Drapes BOCH-KC31 Georgetown Blackout Curtain","62","'05/26/15","No","108"
"BOCH-KC31-84","Half Price Drapes BOCH-KC31 Georgetown Blackout Curtain","0","'05/26/15","No","266"
"BOCH-KC31-96","Half Price Drapes BOCH-KC31 Georgetown Blackout Curtain","39","'05/26/15","No","373"
"BOCH-KC32-108","Half Price Drapes BOCH-KC32 Savannah Blackout Curtain","153",,"No",
"BOCH-KC32-120","Half Price Drapes BOCH-KC32 Savannah Blackout Curtain","62",,"No",
"BOCH-KC32-84","Half Price Drapes BOCH-KC32 Savannah Blackout Curtain","0",,"No",
"BOCH-KC32-96","Half Price Drapes BOCH-KC32 Savannah Blackout Curtain","85",,"No",
"BOCH-KC33-108","Half Price Drapes BOCH-KC33 Tugra Blackout Curtain","0","'05/26/15","No","69"
"BOCH-KC33-120","Half Price Drapes BOCH-KC33 Tugra Blackout Curtain","11","'08/14/15","No","70"
"BOCH-KC33-84","Half Price Drapes BOCH-KC33 Tugra Blackout Curtain","54","'05/26/15","No","165"
"BOCH-KC33-96","Half Price Drapes BOCH-KC33 Tugra Blackout Curtain","0","'05/26/15","No","170"
"BOCH-KC34C-108","Half Price Drapes BOCH-KC34C Sunburst Blackout Curtain","0",,"No",
"BOCH-KC34C-120","Half Price Drapes BOCH-KC34C Sunburst Blackout Curtain","49",,"No",
"BOCH-KC34C-84","Half Price Drapes BOCH-KC34C Sunburst Blackout Curtain","0",,"No",
"BOCH-KC34C-96","Half Price Drapes BOCH-KC34C Sunburst Blackout Curtain","50",,"No",
"BOCH-KC35-108","Half Price Drapes BOCH-KC Casablanca Blackout Curtain","0","'07/25/15","No","100"
"BOCH-KC35-120","Half Price Drapes BOCH-KC Casablanca Blackout Curtain","40",,"No",
"BOCH-KC35-84","Half Price Drapes BOCH-KC Casablanca Blackout Curtain","0","'07/25/15","No","130"
"BOCH-KC35-96","Half Price Drapes BOCH-KC Casablanca Blackout Curtain","51","'07/25/15","No","100"
"BOCH-KC36-108","Half Price Drapes BOCH-KC36 Haight Sunshine Blackout Curtain","96",,"No",
"BOCH-KC36-120","Half Price Drapes BOCH-KC36 Haight Sunshine Blackout Curtain","47",,"No",
"BOCH-KC36-84","Half Price Drapes BOCH-KC36 Haight Sunshine Blackout Curtain","0",,"No",
"BOCH-KC36-96","Half Price Drapes BOCH-KC36 Haight Sunshine Blackout Curtain","0",,"No",
"BOCH-KC5-108","Half Price Drapes BOCH-KC5 Ambrosia Stripe Blackout Curtain","192",,"No",
"BOCH-KC5-120","Half Price Drapes BOCH-KC5 Ambrosia Stripe Blackout Curtain","79",,"No",
"BOCH-KC5-84","Half Price Drapes BOCH-KC5 Ambrosia Stripe Blackout Curtain","0",,"No",
"BOCH-KC5-96","Half Price Drapes BOCH-KC5 Ambrosia Stripe Blackout Curtain","78",,"No",
"BOCH-KC6-108","Half Price Drapes BOCH-KC6 Marco Pole Stripe Blackout Curtain","0",,"No",
"BOCH-KC6-120","Half Price Drapes BOCH-KC6 Marco Pole Stripe Blackout Curtain","0",,"No",
"BOCH-KC6-84","Half Price Drapes BOCH-KC6 Marco Pole Stripe Blackout Curtain","0",,"No",
"BOCH-KC6-96","Half Price Drapes BOCH-KC6 Marco Pole Stripe Blackout Curtain","0",,"No",
"BOCH-KC8-108","Half Price Drapes BOCH-KC8 Pistachio Stripe Blackout Curtain","0",,"No",
"BOCH-KC8-120","Half Price Drapes BOCH-KC8 Pistachio Stripe Blackout Curtain","0",,"No",
"BOCH-KC8-84","Half Price Drapes BOCH-KC8 Pistachio Stripe Blackout Curtain","0",,"No",
"BOCH-KC8-96","Half Price Drapes BOCH-KC8 Pistachio Stripe Blackout Curtain","224",,"No",
"BOCH-KC91B-108","Half Price Drapes BOCH-KC91B Polka Dot Blackout Curtain","221","'07/25/15","No","60"
"BOCH-KC91B-120","Half Price Drapes BOCH-KC91B Polka Dot Blackout Curtain","109",,"No",
"BOCH-KC91B-84","Half Price Drapes BOCH-KC91B Polka Dot Blackout Curtain","141","'07/25/15","No","140"
"BOCH-KC91B-96","Half Price Drapes BOCH-KC91B Polka Dot Blackout Curtain","145","'07/25/15","No","130"
"BOCH-PL1601-108","Half Price Drapes BOCH-PL1601 Sand Dollar Bellino Blackout Curtain","26",,"No",
"BOCH-PL1601-120","Half Price Drapes BOCH-PL1601 Sand Dollar Bellino Blackout Curtain","0",,"No",
"BOCH-PL1601-84","Half Price Drapes BOCH-PL1601 Sand Dollar Bellino Blackout Curtain","48",,"No",
"BOCH-PL1601-96","Half Price Drapes BOCH-PL1601 Sand Dollar Bellino Blackout Curtain","64",,"No",
"BOCH-PL1602-108","Half Price Drapes BOCH-PL1602 Mandarin Bellino Blackout Curtain","131",,"No",
"BOCH-PL1602-120","Half Price Drapes BOCH-PL1602 Mandarin Bellino Blackout Curtain","72",,"No",
"BOCH-PL1602-84","Half Price Drapes BOCH-PL1602 Mandarin Bellino Blackout Curtain","0",,"No",
"BOCH-PL1602-96","Half Price Drapes BOCH-PL1602 Mandarin Bellino Blackout Curtain","98",,"No",
"BOCH-PL1604-108","Half Price Drapes BOCH-PL1604 Candlelight Bellino Blackout Curtain","0",,"No",
"BOCH-PL1604-120","Half Price Drapes BOCH-PL1604 Candlelight Bellino Blackout Curtain","36",,"No",
"BOCH-PL1604-84","Half Price Drapes BOCH-PL1604 Candlelight Bellino Blackout Curtain","0",,"No",
"BOCH-PL1604-96","Half Price Drapes BOCH-PL1604 Candlelight Bellino Blackout Curtain","85",,"No",
"BOCH-PL1605-108","Half Price Drapes BOCH-PL1605 Jadite Bellino Blackout Curtain","184",,"No",
"BOCH-PL1605-120","Half Price Drapes BOCH-PL1605 Jadite Bellino Blackout Curtain","112",,"No",
"BOCH-PL1605-84","Half Price Drapes BOCH-PL1605 Jadite Bellino Blackout Curtain","16",,"No",
"BOCH-PL1605-96","Half Price Drapes BOCH-PL1605 Jadite Bellino Blackout Curtain","47",,"No",
"BOCH-PL1606-108","Half Price Drapes BOCH-PL1606 Green Tea Bellino Blackout Curtain","107",,"No",
"BOCH-PL1606-120","Half Price Drapes BOCH-PL1606 Green Tea Bellino Blackout Curtain","34",,"No",
"BOCH-PL1606-84","Half Price Drapes BOCH-PL1606 Green Tea Bellino Blackout Curtain","58",,"No",
"BOCH-PL1606-96","Half Price Drapes BOCH-PL1606 Green Tea Bellino Blackout Curtain","129",,"No",
